start	end	text
0	1980	GG!
30000	40680	Muchas gracias a Alcaz de Cereconsejale, tan circulando dos actas, lo que por enepia por parte
40680	46920	en nuestras secretarias a los corredas cada uno a usted, el la última, pero vamos a
46920	51560	enviarse en el recurso el día de mañana, eso es el Alcaz.
51560	54760	¿Qué es el día de un tirado de cubinar de cubinar de cubinar de cubinar de cubinar de
54760	61800	cubinar? Bueno, esto es la oportunidad de dejar con tancia de invitaciones actividades,
61800	66280	de distintas organizaciones que serían enviados por parte de la secretaria de
66280	72080	de ustedes, así que eso es lo que tenemos en esta ocasión ceralcal de y consejales.
102080	103800	muchas gracias
104320	104820	más grande
117520	120020	sobre esta mayoría.
122980	125240	¿ cuestionó?
125240	126840	Si
126840	128100	Bueno, miradso!
128100	129100	Buenas tardes,
129100	134640	es, quería consejarle al calde, tengo entendido que el secretario municipales invió a sus
134640	141240	correos, la mucificación y que queríamos hacerle al reglamento de los fondos con cursable,
141240	150180	entonces no sé si les leó la parte que se incorporaron algunos temas al reglamento, entonces
150180	158580	no hay paso a eso, ya en el artículo 3 se incluyeron dos fondos que fue el fondo comité de agua
158580	164600	potable, fondo de desarrollo para el comité de agua potable, fondesa destinados a sistemas de
164600	169860	vestecimientos de agua potable rural para todos los comité de agua potable, brigadas de
169860	177580	el 12, la brigada de emergencia comunitaria, fondo de desarrollo para brigadas de emergencia comunitaria
177580	182740	a fondo de vestec, destinados a todas las brigadas de emergencias comunitarias enfocadas en las distintas
182740	191500	fases del ciclo de riesgo en desastre, mitigación, preparación, respuesta y rehabilitación, y ya en el título
191500	199820	3 de los participantes se agregó en la artículo 4, el punto, los organismos no podrán postular
199820	204900	de forma paralela en año calendario a los distintos financiamientos municipales tales como
204900	212820	fondo concurstable y su vención municipal. Y lo otro punto que se incorporó fue en el titulo
212820	220700	cuarto, en la letra B, la agreditación de la porte al proyecto del 10% de parte de la organización,
220700	225420	se acreditará solo con la presentación del certificado de la cuenta de ahorro a nombre
225420	232500	de la organización vigente, y actualizada, donde conste el aporte del 10% comprometido y señalado
232500	239140	con el proyecto y no será necesario depositar a la cuenta municipal. Esos son los puntos que
239140	248460	se incorporan en el reglamento. No quiso de eran las bases, esto es solamente el reglamento
248460	254260	que faltaba incorporar estos puntos, por eso no sólo antes de aprobar las bases, queremos
254340	265380	aprobar el tema del reglamento. Eso, ahí están todos, ahora más que. Ahora parece que
265380	270580	se está escuchando, se aloa la obesidad, porque recién que recién en el micrófono está funcionando
270580	275380	de buena forma. Así que a aquellos aloar a quienes nos pueden estar escuchando viendo, vamos
275380	284620	a la independencia, está explicando reciente. En el de respecto al lo que corresponde a los
284620	291220	fondos con cruzables municipales. Si hubiera una consulta de consejada, consejanes, todos
291220	297220	temas se habían tratado, se habían analizado en su momento. Así que pasaríamos entonces
